Browser,Folder,Name,URL,Date Added
Chrome/Edge,other,"MoE, National Institute Ranking Framework (NIRF)",https://www.nirfindia.org/Rankings/2023/OverallRanking.html,2025-09-22 14:01:48.711188
Chrome/Edge,bookmark_bar,Smart India Hackathon,https://www.sih.gov.in/sih2025/screeningresult-batch4,2025-11-19 12:06:55.293292
Chrome/Edge,bookmark_bar,Agoda,https://js.redirect.hp.com/jumpstation?bd=agoda&c=232&locale=*&pf=*&tp=edge&TYPE=3,2024-09-18 14:03:10.860079
Chrome/Edge,bookmark_bar,McAfee Security,https://www.mcafee.com/consumer/v/browserfav/hp.html,2024-09-18 14:03:10.859801
